ANO_EMISSAO;MES_MISSAO;UF;MUNICIPIO;TIPO;STATUS;ABRANGENCIA;ESPECIE_ARMA;MARCA_ARMA;CALIBRE_ARMA;SEXO;TOTAL
2026;05;PI;TERESINA                           ;Defesa Pessoal         ;Ativo - Válido;Nacional  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2026;05;PR;CORNÉLIO PROCÓPIO                  ;Funcional              ;Ativo - Válido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2026;05;PR;CURITIBA                           ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;1
2026;05;PR;CURITIBA                           ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2026;05;PR;CURITIBA                           ;Defesa Pessoal         ;Ativo - Válido;Regional  ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;1
2026;05;PR;FOZ DO IGUAÇU                      ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;2
2026;05;PR;FOZ DO IGUAÇU                      ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;2
2026;05;PR;PALOTINA                           ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;1
2026;05;PR;SANTA HELENA                       ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;1
2026;05;RJ;ANGRA DOS REIS                     ;Funcional              ;Ativo - Válido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2026;05;RJ;BELFORD ROXO                       ;Funcional              ;Ativo - Válido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2026;05;RJ;CABO FRIO                          ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2026;05;RJ;CAMPOS DOS GOYTACAZES              ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;1
2026;05;RJ;CAMPOS DOS GOYTACAZES              ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;1
2026;05;RJ;CAMPOS DOS GOYTACAZES              ;Funcional              ;Ativo - Válido;Estadual  ;                                                  ;                                                                      ;                                                  ;F;1
2026;05;RJ;DUQUE DE CAXIAS                    ;Funcional              ;Ativo - Válido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;8
2026;05;RJ;MAGÉ                               ;Funcional              ;Ativo - Válido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;2
2026;05;RJ;MAGÉ                               ;Funcional              ;Cancelado     ;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2026;05;RJ;MESQUITA                           ;Funcional              ;Ativo - Válido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2026;05;RJ;RIO DE JANEIRO                     ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2026;05;RJ;RIO DE JANEIRO                     ;Funcional              ;Ativo - Válido;Estadual  ;                                                  ;                                                                      ;                                                  ;F;1
2026;05;RJ;RIO DE JANEIRO                     ;Funcional              ;Ativo - Válido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;4
